2013-10-29 15:57:51 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:57:51 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:57:57 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:57:57 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:57:57 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:58:03 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:58:03 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:58:03 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:58:09 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:58:09 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:58:09 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:58:15 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:58:15 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:58:15 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:58:17  INFO | instances: 0000 (0000 extant + 0000 pending + 0000 terminated)
2013-10-29 15:58:17  INFO |     nodes: 0001 (0000 busy + 0000 idle + 0001 unresponsive)
2013-10-29 15:58:21 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:58:21 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:58:21 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:58:27 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:58:27 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:58:27 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:58:33 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:58:33 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:58:33 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:58:39 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:58:39 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:58:39 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:58:45 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:58:45 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:58:45 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:58:52 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:58:52 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:58:52 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:58:58 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:58:58 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:58:58 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:59:04 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:59:04 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:59:04 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:59:10 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:59:10 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:59:10 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:59:16 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:59:16 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:59:16 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:59:18  INFO | instances: 0000 (0000 extant + 0000 pending + 0000 terminated)
2013-10-29 15:59:18  INFO |     nodes: 0001 (0000 busy + 0000 idle + 0001 unresponsive)
2013-10-29 15:59:22 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:59:22 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:59:22 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:59:28 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:59:28 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:59:28 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:59:34 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:59:34 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:59:34 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:59:40 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:59:40 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:59:40 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:59:46 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:59:46 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:59:46 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:59:52 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:59:52 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:59:52 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:59:58  INFO | configuration file changed (KEY=NODES, ORIGVALUE=10.1.1.4, NEWVALUE=): change will take effect immediately.
2013-10-29 15:59:58  INFO | ingressing new options
2013-10-29 15:59:58  INFO | refreshing node list
2013-10-29 15:59:58  WARN | NODES list is empty in config files(//etc/eucalyptus/eucalyptus.conf,//etc/eucalyptus/eucalyptus.local.conf)
2013-10-29 16:00:00  INFO | modifying node 10.1.1.4 with state=enabled
2013-10-29 16:00:00 ERROR | node requested for modification (10.1.1.4) cannot be found
2013-10-29 16:00:00ERROR: doEnableService() returned FAIL
2013-10-29 16:00:02  INFO | configuration file changed (KEY=NODES, ORIGVALUE=, NEWVALUE=10.1.1.4): change will take effect immediately.
2013-10-29 16:00:02  INFO | ingressing new options
2013-10-29 16:00:02  INFO | refreshing node list
2013-10-29 16:00:04 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 16:00:04 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 16:00:04 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 16:00:10 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 16:00:10 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 16:00:10 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 16:00:16 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 16:00:16 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 16:00:16 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 16:00:19  INFO | instances: 0000 (0000 extant + 0000 pending + 0000 terminated)
2013-10-29 16:00:19  INFO |     nodes: 0001 (0000 busy + 0000 idle + 0001 unresponsive)
2013-10-29 16:00:22 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
